Brand,Phone,Website,Order by Phone,Order Online,Photo Filename,Order through an online retailer,Established Grocery or Indepedent Health Food store,Farm/Retail Store,Find at Farmers Markets (needs to be broken out from grocery locations)
Border Springs Farm,(276) 952-5485,http://www.borderspringsfarm.com/,No,Yes,Border_Springs_Farm,,Yes,,
Boulder Canyon,(866) 890-1004,http://www.bouldercanyonfoods.com/,No,Yes,Boulder_Canyon,,No,,
Box Organix,(309) 335-0599,http://www.boxorganix.com/,No,Yes,Box_Organix,No,No,Yes,
Bragg,(1800) 446-1990,http://www.bragg.com/,Yes,Yes,Bragg,,Yes,No,No
Branched Oak Farm,(402) 783-2124,http://branchedoakfarm.com/,No,No,Branched_Oak_Farm,No,Yes,,
Branon,(802) 827-3914,http://www.branonmaple.com/,No,Yes,Branon,No,Yes,No,No
Brasserie Castelain,,http://www.chti.com/home#,No,No,Brasserie_Castelain,Yes,Yes,,
Brasserie Dupont,,www.brasserie-dupont.com,No,No,Brasserie_Dupont,Yes,Yes,,
Bravo,(559) 834-3222,https://www.bravofarms.com/default.asp,No,Yes,Bravo,No,Yes,,
"Bread Beckers, Inc.",(770) 516-5000,http://www.breadbeckers.com/,No,Yes,"Bread_Beckers,_Inc.",,Yes,,
Bremner Farms,(530) 893-4950,http://organicalmondsraw.com/,Yes,Yes,Bremner_Farms,No,No,Yes,
Brittany Sea Salt,(866) 671-7451,http://www.brittanysalt.com/,No,Yes,Brittany_Sea_Salt,,Yes,No,Yes
Broadleaf,(800) 336-3844,http://www.broadleafgame.com/,Yes,Yes,Broadleaf,No,No,,
Broken Arrow Ranch,(800) 962-4263,http://www.brokenarrowranch.com/,No,Yes,Broken_Arrow_Ranch,,No,,
Brown Cow,(1888) 429-5459,http://www.browncowfarm.com/,No,No,Brown_Cow,No,Yes,,
Brunkow Dairy,(608) 776-3716,https://www.facebook.com/BrunkowCheese,Yes,No,Brunkow_Dairy,Yes,Yes,,
Brunswick (Bumblebee),,http://www.bumblebee.com/,No,Yes,Brunswick_(Bumblebee),,Yes,,
Bubbie's,(209) 951-6071,http://www.bubbies.com/,No,No,Bubbie's,Yes,Yes,No,No
Buchi Kombucha,(828) 484-8229,http://drinkbuchi.com/,No,No,Buchi_Kombucha,No,Yes,,
Buck Mountain,(802) 370-0219,http://www.buckmountainmaple.com/,No,Yes,Buck_Mountain,,No,,
Buenatural,(800) 952-4453,http://www.buenofoods.com,No,No,Buenatural,Yes,Yes,,
Buffalo Guys,(888) 330-8686,http://www.thebuffaloguys.com/,No,Yes,Buffalo_Guys,,Yes,,
Buffalo Peak Ranch,(888) 208-6360,www.buffalopeakranch.com/,Yes,No,Buffalo_Peak_Ranch,No,No,,
Bumble Bee,,http://www.bumblebee.com/,No,Yes,Bumble_Bee,,Yes,Yes,Yes
Burgie's Organics,(920) 349-3154,http://m.burgiesorganics.com/,Yes,No,Burgie's_Organics,No,No,No,Yes
Burgundy Pasture,(817) 866-2247,www.burgundypasturebeef.com,Yes,Yes,Burgundy_Pasture,,Yes,,
Burroughs Family Farms,(209) 874-9400,http://www.burroughsfamilyfarms.com/,No,Yes,Burroughs_Family_Farms,No,Yes,Yes,
Busha Browne's Planters,(876) 906-0347,www.bushabrowne.com,No,Yes,Busha_Browne's_Planters,,Yes,,
Butterworks,(802) 744-6855,http://www.butterworksfarm.com/,No,Yes,Butterworks,,Yes,,
Cada Dia Cheese,(541) 788-7723,http://www.cadadiacheese.com/,Yes,No,Cada_Dia_Cheese,No,No,,
Cafix,(973) 338-1499,http://www.cafix.com/,No,Yes,Cafix,,Yes,No,Yes
Caldwell,(819) 849-2000,http://www.caldwellbiofermentation.com/,Yes,Yes,Caldwell,No,No,,
California Olive Ranch,(530) 846-8000,http://www.californiaoliveranch.com/,Yes,Yes,California Olive Ranch,,Yes,,
Camelina Gold,(406) 396-1420,http://camelinagold.com/,No,Yes,Camelina_Gold,No,Yes,,
Canal Junction,(419) 399-2350,http://www.cjgrassfed.com/,Yes,No,Canal_Junction,No,No,,
Capay Canyon Ranch,(530) 662-2372,http://capaycanyonranch.com/,No,No,Capay_Canyon_Ranch,No,Yes,,
Cape Cleare,(360) 385-7486,http://www.capecleare.com/,No,No,Cape_Cleare,No,Yes,,
Capital Kombucha,(617) 755-0801,http://www.capitalkombucha.com,No,No,Capital_Kombucha,No,Yes,No,No
Carlson,(888) 234-5656,http://www.carlsonlabs.com/,Yes,Yes,Carlson,,Yes,No,No
Carlton Farms,(570) 396-0886,,Yes,No,Carlton_Farms,No,No,Yes,No
Carrell Farms,,http://www.carrellfarms.com/,No,Yes,Carrell_Farms,No,No,,
Carrington Farms,(800) 505-9546,http://www.carringtonfarms.com/,Yes,Yes,Carrington_Farms,,Yes,No,No
Casa Barranca,(805) 640-1255,http://www.casabarranca.com/,Yes,Yes,Casa_Barranca,,No,No,No
Casa Rosa Farms,,http://www.casarosafarm.com,No,Yes,Casa_Rosa_Farms,Yes,Yes,No,No
Cascadian Farms,(1800) 624-4123,http://www.cascadianfarm.com/,No,Yes,Cascadian_Farms,Yes,Yes,No,No
Castle Rock Organic Farms,(715) 597-0085,http://www.castlerockfarms.net/,Yes,Yes,Castle_Rock_Organic_Farms,,Yes,No,No
Cato Corner Farm,(860) 537-3884,http://www.catocornerfarm.com/,Yes,Yes,Cato_Corner_Farm,,No,No,No
Caveman Foods,(610) 240-4810,http://www.cavemanfoods.com/,Yes,Yes,Caveman_Foods,,No,Yes,No
Caw Caw Creek,(803) 250-5803,http://cawcawcreek.com/,Yes,Yes,Caw_Caw_Creek,,Yes,No,No
Cedar Grove Cheese,(800) 200-6020,http://www.cedargrovecheese.com/,Yes,Yes,Cedar_Grove_Cheese,No,Yes,No,No
Cedar River Farms,8007272333,http://cedarriverfarms.com/,No,No,Cedar_River_Farms,No,Yes,Yes,Yes
Cedar Summit Farm,(952) 758-6886,http://www.cedarsummit.com/,No,No,Cedar_Summit_Farm,No,Yes,,
Celtic,(800) 867-7258,http://www.celticseasalt.com/,Yes,Yes,Celtic,,Yes,No,No
Cento,(856) 853-5445,http://www.cento.com/,No,No,Cento,Yes,Yes,Yes,Yes
Century Sun Oil,(866) 810-9902,http://www.centurysunoil.com/,Yes,Yes,Century_Sun_Oil,,Yes,no,no
Chaffin Family Orchards,(530) 533-1676,http://www.chaffinfamilyorchards.com/,No,Yes,Chaffin_Family_Orchards,No,No,No,No
Chapel's Country Creamery Farm,(410) 820-6647,http://chapelscountrycreamery.com/,No,Yes,Chapel's_Country_Creamery_Farm,No,Yes,yes,yes
Chartrand Imports,(207) 594-7300,http://chartrandimports.com/,Yes,No,Chartrand_Imports,No,Yes,No,No
Cherry Grove Farm,(609) 219-0053,http://www.cherrygrovefarm.com/,No,Yes,Cherry_Grove_Farm,,Yes,yes,No
Chimay,,www.chimay.com,No,Yes,Chimay,,Yes,No,No
Chocola Tree,(928) 282-2997,http://chocolatree.com/,No,Yes,Chocola_Tree,,No,Yes,Yes
Choice Organic Teas,(866) 972-6879,http://shop.choiceorganicteas.com/,Yes,Yes,Choice_Organic_Teas,Yes,Yes,No,No
CHR Hansen,(888) 289-2218,http://www.chr-hansen.com,No,No,CHR_Hansen,Yes,No,No,No
Ciao Organics,(845) 363-6253,http://www.ciaoorganics.com/,No,Yes,Ciao_Organics,,Yes,No,No
Citterio,(1800) 435-8888,http://www.citteriousa.com/,No,Yes,Citterio,,Yes,Yes,No
Clancy's,,,No,No,Clancy's,Yes,Yes,No,No
Claravale Dairy,(831) 628-3219,http://claravaledairy.com/,No,No,Claravale_Dairy,No,Yes,No,No
Clif,(1800) 254-3227,http://www.clifbar.com/,Yes,Yes,Clif,,Yes,Yes,No
Clover Cove Ranch,(402) 925-2431,http://www.clovercove.com/,Yes,No,Clover_Cove_Ranch,No,No,Yes,No
Clover Organic Farms,(800) 237-3315,http://cloverstornetta.com/,No,No,Clover_Organic_Farms,No,Yes,No,No
Coco-Amour Foods,(612) 723-7960,http://www.cocoamourfoods.com,Yes,Yes,Coco-Amour_Foods,No,Yes,,
CocoKefir,(877) 499-3033,http://www.cocokefir.com/,No,Yes,CocoKefir,,Yes,No,No
Coconut Oil Supreme,(800) 922-1744,http://www.coconutoil-online.com/,Yes,Yes,Coconut_Oil_Supreme,,No,No,No
Coconut Secret,(888) 369-3393,http://www.coconutsecret.com/,No,Yes,Coconut_Secret,Yes,Yes,Yes,
Cocopura,(877) 787-6457,www.vivapura.com,No,Yes,Cocopura,,Yes,No,No
Colavita,(888) 265-2848,http://www.colavita.com/,No,Yes,Colavita,,Yes,No,No
Cole's,(401) 396-5966,http://www.colestrout.com/sardines.aspx,No,Yes,Cole's,Yes,Yes,No,No
Coleman Natural,(800) 442-8666,http://www.colemannatural.com/,No,No,Coleman_Natural,No,Yes,No,No
Colonial Classics Farmstead Cheese,(740) 945-2079,,Yes,No,Colonial_Classics_Farmstead_Cheese,No,No,,
Colonial Goat Dairy,(717) 768-7492,,Yes,No,Colonial_Goat_Dairy,No,No,,
Colorado Mountain Jam,(970) 464-0745,http://www.plumdaisy.com/,No,Yes,Colorado_Mountain_Jam,No,Yes,,
Columbia Gorge Organic,(541) 354-1066,http://www.cogojuice.com,No,No,Columbia_Gorge_Organic,No,Yes,,
"Continental Sausage, Inc.",(866) 794-7727,http://www.continentalsausage.com/,No,Yes,"Continental_Sausage,_Inc.",,Yes,No,No
Cook Pigs Ranch,,http://www.cookpigs.com/,No,Yes,Cook_Pigs_Ranch,No,No,No,No
Coombs,(888) 266-6271,www.coombsfamilyfarms.com,No,No,Coombs,Yes,Yes,Yes,Yes
Copper Creek Farms,(765) 395-7886,http://www.farmorders.org,Yes,Yes,Copper_Creek_Farms,No,Yes,,
Copper River Fish Market,(907) 253-9453,http://www.copperriverfishmarket.com/,Yes,No,Copper_River_Fish_Market,No,No,No,No
Copper River Seafoods,(907) 522-7806,http://www.copperriverseafoods.com,No,Yes,Copper_River_Seafoods,No,Yes,Yes,No
Coturri Winery,(866) 268-8774,www.coturriwinery.com,Yes,Yes,Coturri_Winery,,No,,
Country Castle,(608) 325-4343,,,Yes,Country_Castle,No,No,No,No
Country Castle,(608) 325-4343,,Yes,No,Country_Castle,No,No,No,No
Country Choice Organic,(952) 829-8824,http://www.countrychoiceorganic.com/,No,Yes,Country_Choice_Organic,,Yes,,
Cowgirl Creamery,(866) 433-7834,http://www.cowgirlcreamery.com/,No,Yes,Cowgirl_Creamery,,Yes,,
Crazy Richard's,(800) 833-3978,http://www.kremaproducts.com/,Yes,Yes,Crazy_Richard's,Yes,Yes,No,No
Creminelli,(801) 428-1820,http://www.creminelli.com/,No,Yes,Creminelli,No,Yes,No,No
"Creminelli Fine Meats, LLC",(801) 428-1820,http://www.creminelli.com/,No,Yes,"Creminelli_Fine_Meats,_LLC",,Yes,,
Cricket Creek Farm,(413) 458-5888,http://cricketcreekfarm.com/,No,No,Cricket_Creek_Farm,No,Yes,No,No
Crofter's,,http://www.croftersorganic.com/,No,Yes,Crofter's,,Yes,No,No
Crown Prince Natural,(800) 447-2524,http://www.crownprince.com/,No,No,Crown_Prince_Natural,Yes,Yes,,
Cruze Farm,(865) 363-0631,http://www.cruzefarmgirl.com/,No,No,Cruze_Farm,No,Yes,,
CultureBiota,,,No,No,CultureBiota,No,No,,
Cultures for Health,(800) 962-1959,www.culturesforhealth.com,Yes,Yes,Cultures_for_Health,,Yes,No,No
Custom Probiotics,(800) 219-8405,www.customprobiotics.com,Yes,Yes,Custom_Probiotics,,No,No,No
D and S Ranches,(559) 847-0444,http://www.almonds-from-california.com,No,Yes,D_and_S_Ranches,No,No,No,No
D'Artagnan,(800) 327-8246,http://www.dartagnan.com/,Yes,Yes,D'Artagnan,,Yes,Yes,No
Dairy Connection,(608) 242-9030,http://www.getculture.com/,Yes,Yes,Dairy_Connection,,No,No,No
Dancing Star,(413) 625-8300,http://chunksofenergy.com/,No,Yes,Dancing_Star,No,Yes,Yes,No
Dandy Blend,(800) 697-4858,www.dandyblend.com,No,Yes,Dandy_Blend,,Yes,,
Danielle,,http://www.daniellechips.com/,No,No,Danielle,Yes,Yes,,
Danisco,,http://www.danisco.com,No,No,Danisco,Yes,No,No,No
Danlac,(403) 948-4644,http://www.danlac.com/,Yes,Yes,Danlac,,No,No,No
Dansk Farms,(407) 965-5551,www.danskfarms.com,No,Yes,Dansk_Farms,,No,,
Dastony,(800) 518-0727,http://www.dastony.com/,Yes,Yes,Dastony,,No,,
Dave's,(888) 454-8862,http://davesalbacore.com,Yes,Yes,Dave's,,No,,
David Wolfe Foods,(805) 870-5756,http://www.longevitywarehouse.com,No,Yes,David_Wolfe_Foods,No,No,No,No
De Nigris,,http://en.acetobalsamico.it/,No,No,De_Nigris,Yes,Yes,No,No
Deck Family Farm,(541) 998-4697,http://www.deckfamilyfarm.com/,No,Yes,Deck_Family_Farm,,Yes,No,No
Deep Sea,,,No,No,Deep_Sea,Yes,Yes,No,No
DeLallo,(800) 433-9100,http://www.delallo.com/,No,Yes,DeLallo,,Yes,,
DeLand Bakery,(386) 734-7553,http://www.delandbakery.com/,Yes,Yes,DeLand_Bakery,,Yes,No,No
DeLouis Fils,,http://www.delouis.com/,No,Yes,DeLouis_Fils,,Yes,,
Devon Cream Company,,https://www.facebook.com/TheDevonCreamCompany,No,No,Devon_Cream_Company,Yes,Yes,No,No
Diestel,(888) 446-2253,http://www.diestelturkey.com/,No,No,Diestel,No,Yes,,
Dietrich's,(610) 756-6344,http://www.dietrichsmeats.com/,Yes,,Dietrich's,,,No,No
Diviana Alchemy,(360) 981-2328,http://www.divianaalchemy.com/,No,Yes,Diviana_Alchemy,,No,,
Divine Organics,(415) 884-4477,http://divineorganics.com,No,Yes,Divine_Organics,Yes,No,,
Doctor Kracker,(972) 633-1100,http://drkracker.com/,No,Yes,Doctor_Kracker,Yes,Yes,No,No
Double Diamond Ranch,(541) 853-2320,http://doublediamondranch.netbiz.com/,Yes,No,Double_Diamond_Ranch,No,No,No,No
Dr. Bronner's,(877) 786-3649,http://www.drbronner.com,Yes,Yes,Dr._Bronner's,,Yes,Yes,Yes
Dr. Cow,(718) 486-5919,http://www.dr-cow.com,No,Yes,Dr._Cow,Yes,Yes,,Yes
Dr. Ron's,(877) 472-8701,http://www.drrons.com,Yes,Yes,Dr._Ron's,,No,No,No
Dr. Tima's,,,No,No,Dr._Tima's,Yes,Yes,Yes,Yes
Dr. Vita,(800) 211-4188,www.drvita.com,Yes,Yes,Dr._Vita,,No,Yes,Yes
Drakes Bay Family Farms,(415) 669-1149,http://www.drakesbayoyster.com,No,No,Drakes_Bay_Family_Farms,No,Yes,No,No
Dream Foods International,(8779) 865-2266,http://www.dreamfoods.com,No,No,Dream_Foods_International,Yes,Yes,Yes,No
Dreaming Cow Creamery,2298592677,http://www.dreamingcow.com/,No,No,Dreaming_Cow_Creamery,No,Yes,No,No
Driftless Organics,(608) 624-3735,http://www.dutchvalleyfoods.com,No,No,Driftless_Organics,No,Yes,Yes,No
Dutch Valley Foods,(800) 733-4191,,No,No,Dutch_Valley_Foods,Yes,Yes,Yes,No
Eagle's Sugar Camp,(540) 396-6126,,Yes,No,Eagle's_Sugar_Camp,No,Yes,No,No
Earth Circle Organics,(877) 922-3663,www.earthcircleorganics.com,Yes,Yes,Earth_Circle_Organics,,No,No,No
Earth Salt,(888) 725-8386,http://earth-salt.com,Yes,No,Earth_Salt,No,No,Yes,No
East of Eden Farms,(828) 713-1538,www.eastofedenfarm.com,Yes,Yes,East_of_Eden_Farms,,Yes,No,No
East Wind Nut Butters,(417) 679-4682,http://eastwindnutbutters.com,No,No,East_Wind_Nut_Butters,Yes,Yes,,
